posts,row_id
"If you're reading this board, you'll probably find this interesting:https://edscape.dc.gov/node/1730326 ""This dashboard displays individual school enrollment trends over time including total enrollment, enrollment by grade, in and out of boundary, and race/ethnicity. To display a specific school, select a school name from the menu or click on its point on the map. If no specific school is selected, then the dashboard displays total enrollment trends for the DIstrict that can be further filtered by school category and grade bands.""",1
"Anonymous wrote:If you're reading this board, you'll probably find this interesting:https://edscape.dc.gov/node/1730326 ""This dashboard displays individual school enrollment trends over time including total enrollment, enrollment by grade, in and out of boundary, and race/ethnicity. To display a specific school, select a school name from the menu or click on its point on the map. If no specific school is selected, then the dashboard displays total enrollment trends for the DIstrict that can be further filtered by school category and grade bands.""
		 This is really helpful especially because you can see the breakdown by race for PK separate from K-5 for elementaries. The race data on school profiles generally groups everyone together and this can obscure huge differences in racial composition. Schools often look more diverse than they are because they have highly diverse PK classes. So the school profile will say it's 60% black and 25% white and 10% hispanic and 2% asian and 3% other but in reality K-5 is 98% black and all the ""diversity"" is coming in PK. Whereas an actually diverse school will show a lot more diversity in the K-5 bracket -- perhaps not as much as in PK but you will see families of all races sticking with the school past ECE.",2
"Wow, Eliot-Hine is really on the upswing in terms of in-boundary buy-in -- twice as many IB students in 4 years.",3
"Anonymous wrote:
			
				Anonymous wrote:If you're reading this board, you'll probably find this interesting:https://edscape.dc.gov/node/1730326 ""This dashboard displays individual school enrollment trends over time including total enrollment, enrollment by grade, in and out of boundary, and race/ethnicity. To display a specific school, select a school name from the menu or click on its point on the map. If no specific school is selected, then the dashboard displays total enrollment trends for the DIstrict that can be further filtered by school category and grade bands.""
		 This is really helpful especially because you can see the breakdown by race for PK separate from K-5 for elementaries. The race data on school profiles generally groups everyone together and this can obscure huge differences in racial composition. Schools often look more diverse than they are because they have highly diverse PK classes. So the school profile will say it's 60% black and 25% white and 10% hispanic and 2% asian and 3% other but in reality K-5 is 98% black and all the ""diversity"" is coming in PK. Whereas an actually diverse school will show a lot more diversity in the K-5 bracket -- perhaps not as much as in PK but you will see families of all races sticking with the school past ECE.
		 +1. I don't think this resource is actually new, but I never looked at this particular page of it before, and I agree it's super super interesting to look at this point.",4
"I find it interesting but also incorrect.  My kid's school says there is a single Asian student in the entire elementary for 23-24, but there were three Asian kids in her PK4 class (and not 50% or anything but I saw many more at drop off/pickup).  So I'm not sure where they're getting the race data from (maybe it's self-reported and many people ""prefer not to say""?), but I expect total enrollment and IB/OOB to be more likely to be correct.",5
"Anonymous wrote:I find it interesting but also incorrect.  My kid's school says there is a single Asian student in the entire elementary for 23-24, but there were three Asian kids in her PK4 class (and not 50% or anything but I saw many more at drop off/pickup).  So I'm not sure where they're getting the race data from (maybe it's self-reported and many people ""prefer not to say""?), but I expect total enrollment and IB/OOB to be more likely to be correct.
		 They may be entering as more than one race and you're not aware of what the other race is. Or yes, prefer not to say. Or else it's the n less than 10 rule being coded as 1.",6
"Anonymous wrote:
			
				Anonymous wrote:I find it interesting but also incorrect.  My kid's school says there is a single Asian student in the entire elementary for 23-24, but there were three Asian kids in her PK4 class (and not 50% or anything but I saw many more at drop off/pickup).  So I'm not sure where they're getting the race data from (maybe it's self-reported and many people ""prefer not to say""?), but I expect total enrollment and IB/OOB to be more likely to be correct.
		 They may be entering as more than one race and you're not aware of what the other race is. Or yes, prefer not to say. Or else it's the n less than 10 rule being coded as 1.
		 +1, data on Asian students in DCPS is often inaccurate because many Asian kids are mixed race and the overall small number make small variations in data seem more significant than they are. Even if the data omitted 2 out of 3 AAPI students it still tells you the approximate percent of students at the school who are AAPI with pretty good accuracy.",7
"Anonymous wrote:
			
				Anonymous wrote:I find it interesting but also incorrect.  My kid's school says there is a single Asian student in the entire elementary for 23-24, but there were three Asian kids in her PK4 class (and not 50% or anything but I saw many more at drop off/pickup).  So I'm not sure where they're getting the race data from (maybe it's self-reported and many people ""prefer not to say""?), but I expect total enrollment and IB/OOB to be more likely to be correct.
		 They may be entering as more than one race and you're not aware of what the other race is. Or yes, prefer not to say. Or else it's the n less than 10 rule being coded as 1.
		 Last year it says there were 3 Asian students, so it's not n<10 = 1.  Certainly some of the kids I don't know personally may be bi/multiracial but I know that there are more ""completely"" Asian students than being reported in this data set.  Just pointing out to the PPs excited for a ""race breakdown"" that the numbers should be taken with a grain of salt.",8
"Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:I find it interesting but also incorrect.  My kid's school says there is a single Asian student in the entire elementary for 23-24, but there were three Asian kids in her PK4 class (and not 50% or anything but I saw many more at drop off/pickup).  So I'm not sure where they're getting the race data from (maybe it's self-reported and many people ""prefer not to say""?), but I expect total enrollment and IB/OOB to be more likely to be correct.
		 They may be entering as more than one race and you're not aware of what the other race is. Or yes, prefer not to say. Or else it's the n less than 10 rule being coded as 1.
		 Last year it says there were 3 Asian students, so it's not n<10 = 1.  Certainly some of the kids I don't know personally may be bi/multiracial but I know that there are more ""completely"" Asian students than being reported in this data set.  Just pointing out to the PPs excited for a ""race breakdown"" that the numbers should be taken with a grain of salt.
		 It could also be whether they were attending at the time the enrollment data was pulled. Or it could be a coding mistake at any point in the process.  Regardless, yes, the overall point of hardly any Asians is communicated.",9
"Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:I find it interesting but also incorrect.  My kid's school says there is a single Asian student in the entire elementary for 23-24, but there were three Asian kids in her PK4 class (and not 50% or anything but I saw many more at drop off/pickup).  So I'm not sure where they're getting the race data from (maybe it's self-reported and many people ""prefer not to say""?), but I expect total enrollment and IB/OOB to be more likely to be correct.
		 They may be entering as more than one race and you're not aware of what the other race is. Or yes, prefer not to say. Or else it's the n less than 10 rule being coded as 1.
		 +1, data on Asian students in DCPS is often inaccurate because many Asian kids are mixed race and the overall small number make small variations in data seem more significant than they are.Even if the data omitted 2 out of 3 AAPI students it still tells you the approximate percent of students at the school who are AAPI with pretty good accuracy.
		 There were three in our classroom, and the data reports one in the school.  Many more than 2 were omitted.  I'm a bit thrown by how determined people are to insist that the fact that a school with maybe 3-5% AAPI enrollment reporting 0% enrollment is not worthy of comment.  Is it that you guys only want to know how many white kids there are and everything else is noise?",10
"Anonymous wrote:Wow, Eliot-Hine is really on the upswing in terms of in-boundary buy-in -- twice as many IB students in 4 years.
		 and also importantly, greatly increased retention of 8th graders this year.",11
"Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:I find it interesting but also incorrect.  My kid's school says there is a single Asian student in the entire elementary for 23-24, but there were three Asian kids in her PK4 class (and not 50% or anything but I saw many more at drop off/pickup).  So I'm not sure where they're getting the race data from (maybe it's self-reported and many people ""prefer not to say""?), but I expect total enrollment and IB/OOB to be more likely to be correct.
		 They may be entering as more than one race and you're not aware of what the other race is. Or yes, prefer not to say. Or else it's the n less than 10 rule being coded as 1.
		 +1, data on Asian students in DCPS is often inaccurate because many Asian kids are mixed race and the overall small number make small variations in data seem more significant than they are.Even if the data omitted 2 out of 3 AAPI students it still tells you the approximate percent of students at the school who are AAPI with pretty good accuracy.
		 There were three in our classroom, and the data reports one in the school.  Many more than 2 were omitted.  I'm a bit thrown by how determined people are to insist that the fact that a school with maybe 3-5% AAPI enrollment reporting 0% enrollment is not worthy of comment.  Is it that you guys only want to know how many white kids there are and everything else is noise?
		 Of course it is worthy of comment. But it's hard to know where the error happened and there could be various reasons for it. So it's hard to say more.",12
"Anonymous wrote:
			
				Anonymous wrote:If you're reading this board, you'll probably find this interesting:https://edscape.dc.gov/node/1730326 ""This dashboard displays individual school enrollment trends over time including total enrollment, enrollment by grade, in and out of boundary, and race/ethnicity. To display a specific school, select a school name from the menu or click on its point on the map. If no specific school is selected, then the dashboard displays total enrollment trends for the DIstrict that can be further filtered by school category and grade bands.""
		 This is really helpful especially because you can see the breakdown by race for PK separate from K-5 for elementaries. The race data on school profiles generally groups everyone together and this can obscure huge differences in racial composition. Schools often look more diverse than they are because they have highly diverse PK classes. So the school profile will say it's 60% black and 25% white and 10% hispanic and 2% asian and 3% other but in reality K-5 is 98% black and all the ""diversity"" is coming in PK. Whereas an actually diverse school will show a lot more diversity in the K-5 bracket -- perhaps not as much as in PK but you will see families of all races sticking with the school past ECE.
		 For this reason I wish they also had breakdown by at-risk status.",13
"Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:If you're reading this board, you'll probably find this interesting:https://edscape.dc.gov/node/1730326 ""This dashboard displays individual school enrollment trends over time including total enrollment, enrollment by grade, in and out of boundary, and race/ethnicity. To display a specific school, select a school name from the menu or click on its point on the map. If no specific school is selected, then the dashboard displays total enrollment trends for the DIstrict that can be further filtered by school category and grade bands.""
		 This is really helpful especially because you can see the breakdown by race for PK separate from K-5 for elementaries. The race data on school profiles generally groups everyone together and this can obscure huge differences in racial composition. Schools often look more diverse than they are because they have highly diverse PK classes. So the school profile will say it's 60% black and 25% white and 10% hispanic and 2% asian and 3% other but in reality K-5 is 98% black and all the ""diversity"" is coming in PK. Whereas an actually diverse school will show a lot more diversity in the K-5 bracket -- perhaps not as much as in PK but you will see families of all races sticking with the school past ECE.
		 For this reason I wish they also had breakdown by at-risk status.
		 Yes it's very weird that they don't. That breakdown is available in other data sets though, so you could probably ballpark it if you tried.",14
"Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:
			
				Anonymous wrote:If you're reading this board, you'll probably find this interesting:https://edscape.dc.gov/node/1730326 ""This dashboard displays individual school enrollment trends over time including total enrollment, enrollment by grade, in and out of boundary, and race/ethnicity. To display a specific school, select a school name from the menu or click on its point on the map. If no specific school is selected, then the dashboard displays total enrollment trends for the DIstrict that can be further filtered by school category and grade bands.""
		 This is really helpful especially because you can see the breakdown by race for PK separate from K-5 for elementaries. The race data on school profiles generally groups everyone together and this can obscure huge differences in racial composition. Schools often look more diverse than they are because they have highly diverse PK classes. So the school profile will say it's 60% black and 25% white and 10% hispanic and 2% asian and 3% other but in reality K-5 is 98% black and all the ""diversity"" is coming in PK. Whereas an actually diverse school will show a lot more diversity in the K-5 bracket -- perhaps not as much as in PK but you will see families of all races sticking with the school past ECE.
		 For this reason I wish they also had breakdown by at-risk status.
		 Yes it's very weird that they don't. That breakdown is available in other data sets though, so you could probably ballpark it if you tried.
		 Also interesting to see which elementary schools have huge drop offs in class size in 5th grade vs those that have more consistent class size.",15
